No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	HyDp	RHyDp	w	ww	Rww	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
11	C8_11.hin	3,4-dimethyl-hexane	30	30	31	31	2	3.584	1.412	1.565	0.528	2	8	22.478	17	0.357	246	246	167	167	7.881	5.165	68	2.429	10.179	14.867	68	-7.887	1.993	134	11.467	68	134	11.467	68	68	68	68	68	68	3.292	3.292	3.292	3.292	3.292	3.292	0.417	0.328	2.353	11.938	16	3.938	2.813	3.938	1.594	0.542	0.332	0.096	0.015	0.667	52	32	4	0.5	3	12	40	10	24	1.5	1.5	6.569	3.719	2.771	2.259	0.805	0.167	0.821	0.531	0.346	0.282	0.201	0.167	6.569	3.719	2.771	2.259	0.805	0.167	0.821	0.531	0.346	0.282	0.201	0.167	6.569	3.719	2.771	2.259	0.805	0.167	22.312	1.768	28.164
12	C8_12.hin	2-methyl-3-ethyl-pentane	30	30	31	31	2	3.584	1.412	1.565	0.528	2	8	22.357	16.75	0.349	242	242	163	163	7.827	5.178	67	2.393	10.201	14.917	67	-7.771	1.631	129	11.5	67	129	11.5	67	67	67	67	67	67	3.355	3.355	3.355	3.355	3.355	3.355	0.454	0.303	2.301	11.896	18	3.938	2.813	3.938	1.594	0.538	0.328	0.122	0	1	43	27	3.375	0.625	3.25	11	46	10	26	1.406	1.406	6.569	3.719	2.821	1.992	1.231	0	0.821	0.531	0.353	0.249	0.246	0	6.569	3.719	2.821	1.992	1.231	0	0.821	0.531	0.353	0.249	0.246	0	6.569	3.719	2.821	1.992	1.231	0	22.312	1.76	28.294
13	C8_13.hin	3-methyl-3-ethyl-pentane	32	32	34	34	3	3.466	1.391	1.542	0.537	2	9	21.98	16	0.331	232	232	151	151	7.69	5.066	64	2.286	10.438	15.25	64	-7.423	1.309	118	11.8	64	118	11.8	64	64	64	64	64	64	3.583	3.583	3.583	3.583	3.583	3.583	0.625	0.354	2.333	12.412	14.49	3.111	2.222	3.111	1.578	0.56	0.362	0.083	0	1	41	26	3.25	0.563	3	10	48	10	26	1.406	1.406	6.621	3.682	2.871	2.561	0.75	0	0.828	0.526	0.319	0.285	0.25	0	6.621	3.682	2.871	2.561	0.75	0	0.828	0.526	0.319	0.285	0.25	0	6.621	3.682	2.871	2.561	0.75	0	22.092	1.703	29.355
14	C8_14.hin	2,2,3-trimethyl-pentane	34	34	35	35	4	3.178	1.315	1.488	0.561	3	8	21.881	15.75	0.326	230	230	147	147	7.615	5.461	63	2.25	10.576	15.417	63	-7.307	1.731	115	11.967	63	115	11.967	63	63	63	63	63	63	3.623	3.623	3.623	3.623	3.623	3.623	0.741	0.306	2.86	13.044	19.245	2.52	2.813	2.52	1.492	0.603	0.307	0.061	0	1	43	27	3.375	0.625	2.563	11	38	10	30	1.299	1.406	6.784	3.481	3.675	2.091	0.612	0	0.848	0.497	0.368	0.261	0.204	0	6.784	3.481	3.675	2.091	0.612	0	0.848	0.497	0.368	0.261	0.204	0	6.784	3.481	3.675	2.091	0.612	0	20.888	1.658	29.94
15	C8_15.hin	2,2,4-trimethyl-pentane	34	34	32	32	4	3.178	1.315	1.488	0.561	3	5	22.271	16.5	0.346	242	242	159	159	7.752	5.58	66	2.357	10.431	15.167	66	-7.655	2.097	127	11.767	66	127	11.767	66	66	66	66	66	66	3.389	3.389	3.389	3.389	3.389	3.389	0.728	0.285	2.785	12.726	17.245	2.52	7.2	2.52	1.464	0.593	0.18	0.097	0	1	45	28	3.5	0.625	2.875	12	36	8	30	1.299	1.299	6.784	3.417	4.159	1.021	1.225	0	0.848	0.488	0.416	0.204	0.204	0	6.784	3.417	4.159	1.021	1.225	0	0.848	0.488	0.416	0.204	0.204	0	6.784	3.417	4.159	1.021	1.225	0	20.499	1.689	29.222
16	C8_16.hin	2,3,3-trimethyl-pentane	34	34	36	36	4	3.178	1.315	1.488	0.561	3	9	21.748	15.5	0.319	226	226	143	143	7.564	5.445	62	2.214	10.625	15.5	62	-7.191	1.569	111	12.033	62	111	12.033	62	62	62	62	62	62	3.708	3.708	3.708	3.708	3.708	3.708	0.708	0.317	2.894	13.134	20	2.52	2.222	2.52	1.502	0.608	0.345	0.047	0	1	41	26	3.25	0.563	2.625	10	44	10	30	1.299	1.406	6.784	3.504	3.497	2.474	0.408	0	0.848	0.501	0.35	0.275	0.204	0	6.784	3.504	3.497	2.474	0.408	0	0.848	0.501	0.35	0.275	0.204	0	6.784	3.504	3.497	2.474	0.408	0	21.024	1.646	30.18
17	C8_17.hin	2,3,4-trimethyl-pentane	32	32	33	33	3	3.296	1.333	1.51	0.551	3	8	22.139	16.25	0.338	236	236	155	155	7.705	5.586	65	2.321	10.389	15.167	65	-7.539	1.866	122	11.733	65	122	11.733	65	65	65	65	65	65	3.464	3.464	3.464	3.464	3.464	3.464	0.491	0.315	2.889	12.612	14	3.111	2.813	3.111	1.523	0.588	0.31	0.077	0	1	43	27	3.375	0.625	2.938	11	42	8	30	1.299	1.406	6.732	3.553	3.347	2.103	0.77	0	0.842	0.508	0.372	0.263	0.192	0	6.732	3.553	3.347	2.103	0.77	0	0.842	0.508	0.372	0.263	0.192	0	6.732	3.553	3.347	2.103	0.77	0	21.321	1.7	29.12
18	C8_18.hin	2,2,3,3-tetramethylbutane	38	38	40	40	6	2.773	1.231	1.414	0.601	4	9	21.241	14.5	0.295	214	214	127	127	7.313	5.679	58	2.071	11	16	58	-6.727	1.411	97	12.5	58	97	12.5	58	58	58	58	58	58	4.02	4.02	4.02	4.02	4.02	4.02	0.813	0.271	3.25	14.291	6.49	1.75	2.222	1.75	1.393	0.67	0.321	0	0	0.5	34	22	2.75	0.375	2.25	10	36	6	40	0.811	0.811	7	3.25	4.5	2.25	0	0	0.875	0.464	0.375	0.25	0	0	7	3.25	4.5	2.25	0	0	0.875	0.464	0.375	0.25	0	0	7	3.25	4.5	2.25	0	0	19.5	1.549	31.825
																																																																																																								
																																																																																																								
