No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	STN	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr05	D/Dr06	D/Dr09	D/Dr10	D/Dr11	D/Dr12	X0	X1	X2	X3	X4	X5	X0A	X1A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
11	PAH-L011.HIN	1-3-7-trimethylnaphthalene	68	128	79	149	11	8.959	1.814	1.992	0.334	26	5	19	45.931	34.769	0.258	992	1371	936	1687	12.7	6.563	226	2.897	22.382	35.91	150.914	9.714	1.287	3.555	518	25.898	612	2831	5.156	31.216	1402	162.667	162.667	162.667	162.667	162.667	2.021	2.866	2.866	2.866	2.866	2.866	0.334	0.254	3.11	11.366	46.106	8.306	2.88	1.442	1.84	0.995	0.592	0.335	0.186	0.108	0.75	139	67	5.154	0.828	4.982	26	114	21	10	0.773	1.884	0	51.529	0	44.341	0	0	9.422	6.165	5.896	4.52	3.9	3.148	0.725	0.44	0.295	0.181	0.118	0.077	8.387	4.643	3.806	2.461	1.844	1.252	0.645	0.332	0.19	0.098	0.056	0.031	9.422	6.165	5.896	4.52	3.9	3.148	36.988	2.445	80.855
12	PAH-L012.HIN	2-3-5-trimethylnaphthalene	68	128	80	150	11	8.959	1.814	1.992	0.334	26	5	20	45.829	34.462	0.255	984	1363	928	1679	12.664	6.495	224	2.872	22.438	36.017	150.114	9.663	1.285	3.555	507	25.976	614	2852	5.149	30.911	1403	161.333	161.333	161.333	161.333	161.333	2.037	2.885	2.885	2.885	2.885	2.885	0.317	0.278	2.983	11.453	43.351	8.306	2.88	1.328	1.84	0.996	0.595	0.354	0.178	0.103	0.5	137	66	5.077	0.71	5.183	26	110	18	10	0.773	1.577	0	51.529	0	44.341	0	0	9.422	6.182	5.758	4.861	3.684	3.103	0.725	0.442	0.288	0.187	0.115	0.076	8.387	4.649	3.733	2.713	1.704	1.237	0.645	0.332	0.187	0.104	0.053	0.03	9.422	6.182	5.758	4.861	3.684	3.103	37.089	2.436	81.148
13	PAH-L013.HIN	2-3-6-trimethylnaphthalene	68	128	79	149	11	8.959	1.814	1.992	0.334	26	5	19	46.159	35.385	0.264	1010	1393	956	1715	12.765	6.616	230	2.949	22.313	35.743	152.229	9.799	1.384	3.555	540	25.793	610	2814	5.168	31.919	1405	165.333	165.333	165.333	165.333	165.333	1.98	2.811	2.811	2.811	2.811	2.811	0.337	0.262	3.135	11.378	46.106	8.306	2.88	1.442	1.84	0.995	0.596	0.341	0.17	0.104	0.75	145	70	5.385	0.876	5.396	27	109	21	10	0.773	1.95	0	52.369	0	44.977	0	0	9.422	6.165	5.864	4.723	3.58	3.126	0.725	0.44	0.293	0.189	0.115	0.076	8.387	4.643	3.787	2.608	1.645	1.227	0.645	0.332	0.189	0.104	0.053	0.03	9.422	6.165	5.864	4.723	3.58	3.126	36.988	2.457	80.396
14	PAH-L014.HIN	phenalene	72	145	87	174	13	10.633	2.229	2.266	0.307	26	4	21	45.056	32.308	0.236	1017	1510	1059	2214	12.512	0	210	2.692	23.761	37.45	118.071	14.676	0.726	5.278	444	27.4	804	4599	1.39	20.656	3099	140	140	140	140	140	1.819	2.728	2.728	2.728	2.728	2.728	0.337	0.162	2.594	9.32	23.086	6.788	2.397	0.889	1.252	0.896	0.575	0.355	0.215	0.116	0.667	135	60	4.615	0.533	3.728	24	108	13	0	0	1.14	0	54.694	0	93.855	0	39.161	8.673	6.449	5.65	5.082	4.669	3.97	0.667	0.43	0.269	0.169	0.111	0.074	7.196	4.482	3.318	2.521	1.933	1.369	0.554	0.299	0.158	0.084	0.046	0.025	8.673	6.449	5.65	5.082	4.669	3.97	38.697	2.576	88.092
15	PAH-L018.HIN	1-phenylnaphthalene	84	172	99	201	13	12.712	2.182	2.213	0.28	32	4	24	62.804	51.5	0.249	1890	2802	1974	4192	15.803	0	412	3.433	29.02	49.073	281.976	28.848	2.18	5.347	1096	33.863	1104	6356	4.979	47.42	3880	294.667	294.667	294.667	294.667	294.667	1.668	2.323	2.323	2.323	2.323	2.323	0.39	0.178	2.948	13.143	49.245	9.17	3.822	1.624	2.19	0.914	0.562	0.339	0.201	0.112	1	220	100	6.25	0.906	7.5	36	248	34	0	0	2.127	0	103.892	0	55.078	0	0	10.795	7.949	6.701	5.886	5.136	4.353	0.675	0.442	0.279	0.178	0.117	0.078	8.928	5.482	3.893	2.874	2.095	1.475	0.558	0.305	0.162	0.087	0.048	0.026	10.795	7.949	6.701	5.886	5.136	4.353	47.697	2.915	112.682
16	PAH-L019.HIN	2-phenylnaphthalene	84	172	98	200	13	12.712	2.182	2.213	0.28	32	4	23	63.697	54.5	0.268	2006	2966	2114	4472	16.052	0	436	3.633	28.722	48.304	290.548	29.724	2.381	5.347	1252	33.41	1092	6200	5.005	50.118	3902	310.667	310.667	310.667	310.667	310.667	1.566	2.192	2.192	2.192	2.192	2.192	0.395	0.241	3.058	13.048	52.49	9.17	3.822	1.734	2.19	0.913	0.566	0.333	0.186	0.104	0.8	246	111	6.938	1.078	8.625	40	232	34	0	0	2.281	0	110.209	0	57.777	0	0	10.795	7.933	6.776	5.897	4.943	4.186	0.675	0.441	0.282	0.184	0.121	0.079	8.928	5.476	3.928	2.857	1.999	1.413	0.558	0.304	0.164	0.089	0.049	0.027	10.795	7.933	6.776	5.897	4.943	4.186	47.596	2.966	110.53
17	PAH-L020.HIN	anthracene	76	154	90	182	13	11.326	2.211	2.246	0.297	28	4	21	51.401	39.857	0.255	1324	1960	1392	2919	13.815	0	279	3.066	25.316	40.786	163.848	19.004	1.443	5.318	680	29.257	1015	6272	1.431	26.094	3516	186	186	186	186	186	1.682	2.524	2.524	2.524	2.524	2.524	0.355	0.241	2.843	10.441	27.303	7.573	2.846	1.199	1.54	0.902	0.573	0.34	0.195	0.114	0.75	180	80	5.714	0.898	5.878	33	96	16	0	0	1.95	0	65.028	0	71.207	0	0	9.38	6.933	6.081	5.344	4.588	4.052	0.67	0.433	0.276	0.178	0.115	0.075	7.774	4.809	3.547	2.614	1.883	1.388	0.555	0.301	0.161	0.087	0.047	0.026	9.38	6.933	6.081	5.344	4.588	4.052	41.596	2.727	94.819
18	PAH-L021.HIN	1-methylanthracene	82	162	98	193	14	11.731	2.093	2.186	0.292	30	5	24	56.728	44.533	0.246	1551	2244	1609	3232	14.695	4.194	334	3.181	27.493	45.412	202.647	22.031	1.495	5.318	835	31.988	1180	7396	2.585	31.472	4149	227.333	227.333	227.333	227.333	227.333	1.714	2.533	2.533	2.533	2.533	2.533	0.351	0.278	3.337	12.171	53.848	8.487	3.096	1.299	1.751	0.922	0.583	0.349	0.195	0.112	0.75	193	87	5.8	0.907	6.764	35	143	21	2	0.521	1.933	0	71.54	0	78.235	0	0	10.251	7.343	6.608	5.818	4.956	4.257	0.683	0.432	0.275	0.176	0.113	0.072	8.696	5.226	3.995	2.965	2.123	1.527	0.58	0.307	0.166	0.09	0.048	0.026	10.251	7.343	6.608	5.818	4.956	4.257	44.06	2.765	105.595
19	PAH-L022.HIN	2-methylanthracene	82	162	97	192	14	11.731	2.093	2.186	0.292	30	5	23	57.066	45.6	0.254	1587	2288	1649	3288	14.79	4.374	342	3.257	27.355	45.096	205.451	22.336	1.571	5.318	883	31.785	1174	7321	2.598	32.42	4153	232.667	232.667	232.667	232.667	232.667	1.673	2.475	2.475	2.475	2.475	2.475	0.353	0.262	3.481	12.098	56.603	8.487	3.096	1.386	1.751	0.921	0.583	0.338	0.189	0.114	1	204	92	6.133	0.96	7.04	36	144	27	2	0.521	2.174	0	72.873	0	79.77	0	0	10.251	7.327	6.714	5.68	4.843	4.325	0.683	0.431	0.28	0.177	0.113	0.073	8.696	5.22	4.05	2.86	2.059	1.547	0.58	0.307	0.169	0.089	0.048	0.026	10.251	7.327	6.714	5.68	4.843	4.325	43.959	2.786	104.723
20	PAH-L023.HIN	2-7-dimethylanthracene	88	170	104	202	15	12.137	2	2.135	0.287	32	6	25	62.838	51.625	0.252	1880	2646	1934	3685	15.743	6.513	413	3.442	29.41	49.532	252.466	25.829	1.692	5.318	1122	34.34	1345	8448	3.778	39.412	4870	285.333	285.333	285.333	285.333	285.333	1.667	2.44	2.44	2.44	2.44	2.44	0.348	0.282	4.113	13.875	50	9.411	3.345	1.602	1.968	0.938	0.593	0.336	0.184	0.115	1	226	103	6.438	1.063	8.031	41	170	30	5	0.625	2.203	0	80.717	0	88.332	0	0	11.121	7.72	7.348	6.015	5.099	4.597	0.695	0.429	0.283	0.177	0.111	0.072	9.619	5.631	4.553	3.107	2.236	1.706	0.601	0.313	0.175	0.091	0.049	0.027	11.121	7.72	7.348	6.015	5.099	4.597	46.322	2.846	114.898
21	PAH-L024.HIN	2-6-dimethylanthracene	88	170	104	202	15	12.137	2	2.135	0.287	32	6	25	62.869	51.75	0.253	1884	2650	1938	3689	15.755	6.531	414	3.45	29.407	49.518	252.471	25.829	1.692	5.318	1131	34.335	1344	8436	3.78	39.564	4870	286	286	286	286	286	1.664	2.436	2.436	2.436	2.436	2.436	0.348	0.275	4.115	13.874	48	9.411	3.345	1.602	1.968	0.938	0.593	0.336	0.184	0.115	0.8	232	106	6.625	1.125	8.188	42	156	30	5	0.625	2.25	0	80.717	0	88.332	0	0	11.121	7.72	7.348	6.015	5.099	4.597	0.695	0.429	0.283	0.177	0.111	0.072	9.619	5.631	4.553	3.107	2.236	1.706	0.601	0.313	0.175	0.091	0.049	0.027	11.121	7.72	7.348	6.015	5.099	4.597	46.322	2.846	114.868
22	PAH-L025.HIN	2-3-dimethylanthracene	88	170	105	203	15	12.137	2	2.135	0.287	32	6	26	62.656	51	0.248	1860	2626	1914	3665	15.698	6.361	408	3.4	29.505	49.74	249.882	25.564	1.642	5.318	1092	34.479	1348	8490	3.773	38.945	4826	282	282	282	282	282	1.686	2.465	2.465	2.465	2.465	2.465	0.349	0.275	3.934	13.933	40	9.411	3.345	1.507	1.968	0.939	0.593	0.35	0.185	0.112	0.6	228	104	6.5	1	8	40	176	26	5	0.625	2	0	80.717	0	88.332	0	0	11.121	7.737	7.222	6.265	5.065	4.553	0.695	0.43	0.278	0.179	0.11	0.071	9.619	5.637	4.483	3.317	2.22	1.688	0.601	0.313	0.172	0.095	0.048	0.026	11.121	7.737	7.222	6.265	5.065	4.553	46.423	2.834	115.446
23	PAH-L026.HIN	9-10-dimethylanthracene	88	170	108	206	15	12.137	2	2.135	0.287	32	6	29	61.455	47.25	0.225	1724	2458	1762	3449	15.393	5.923	378	3.15	30.03	50.952	236.588	24.204	1.262	5.318	917	35.257	1342	8451	3.813	36.492	4658	262	262	262	262	262	1.831	2.666	2.666	2.666	2.666	2.666	0.293	0.212	3.466	14.158	30.49	9.411	3.345	1.268	1.968	0.942	0.586	0.373	0.218	0.12	0.75	198	90	5.625	0.875	6.938	38	148	20	5	0.625	1.906	0	76.776	0	85.954	0	0	11.121	7.788	6.943	6.451	5.623	4.737	0.695	0.433	0.267	0.17	0.108	0.07	9.619	5.655	4.341	3.47	2.564	1.83	0.601	0.314	0.167	0.091	0.049	0.027	11.121	7.788	6.943	6.451	5.623	4.737	46.726	2.763	118.827
24	PAH-L030.HIN	phenanthrene	76	154	91	183	13	11.326	2.211	2.246	0.297	28	4	22	50.995	38.714	0.246	1284	1904	1342	2821	13.696	0	271	2.978	25.476	41.143	160.784	18.648	1.322	5.318	636	29.493	1019	6314	1.413	25.058	3511	180.667	180.667	180.667	180.667	180.667	1.74	2.61	2.61	2.61	2.61	2.61	0.355	0.178	2.734	10.528	35.303	7.573	2.846	1.118	1.54	0.903	0.571	0.349	0.206	0.116	0.75	170	76	5.429	0.776	5.388	29	136	20	0	0	1.842	0	62.233	0	69.159	0	0	9.38	6.949	5.994	5.394	4.745	4.108	0.67	0.434	0.272	0.174	0.113	0.075	7.774	4.815	3.508	2.654	1.955	1.409	0.555	0.301	0.159	0.086	0.047	0.026	9.38	6.949	5.994	5.394	4.745	4.108	41.697	2.7	95.881
25	PAH-L031.HIN	1-methylphenanthrene	82	162	99	194	14	11.731	2.093	2.186	0.292	30	5	25	56.364	43.467	0.239	1511	2188	1559	3134	14.59	4.194	326	3.105	27.653	45.769	199.216	21.658	1.39	5.318	791	32.224	1186	7465	2.564	30.336	4142	222	222	222	222	222	1.763	2.605	2.605	2.605	2.605	2.605	0.351	0.215	3.228	12.268	49.848	8.487	3.096	1.219	1.751	0.923	0.581	0.358	0.206	0.113	0.75	183	83	5.533	0.836	6.293	32	172	24	2	0.521	1.889	0	68.667	0	76.158	0	0	10.251	7.36	6.522	5.866	5.121	4.305	0.683	0.433	0.272	0.173	0.111	0.072	8.696	5.232	3.957	3.005	2.197	1.544	0.58	0.308	0.165	0.088	0.048	0.026	10.251	7.36	6.522	5.866	5.121	4.305	44.161	2.74	106.66
26	PAH-L032.HIN	2-methylphenanthrene	82	162	98	193	14	11.731	2.093	2.186	0.292	30	5	24	56.703	44.533	0.247	1547	2232	1599	3190	14.693	4.374	334	3.181	27.515	45.454	201.775	21.936	1.459	5.318	839	32.021	1180	7388	2.576	31.253	4146	227.333	227.333	227.333	227.333	227.333	1.722	2.546	2.546	2.546	2.546	2.546	0.353	0.238	3.372	12.192	58.603	8.487	3.096	1.299	1.751	0.922	0.582	0.346	0.199	0.116	1	199	90	6	0.933	6.64	33	173	30	2	0.521	2.149	0	69.976	0	77.69	0	0	10.251	7.343	6.628	5.729	5.004	4.355	0.683	0.432	0.276	0.174	0.111	0.073	8.696	5.226	4.011	2.9	2.133	1.56	0.58	0.307	0.167	0.088	0.047	0.026	10.251	7.343	6.628	5.729	5.004	4.355	44.06	2.761	105.791
27	PAH-L033.HIN	3-methylphenanthrene	82	162	98	193	14	11.731	2.093	2.186	0.292	30	5	24	56.54	44	0.242	1529	2210	1579	3162	14.638	4.302	330	3.143	27.547	45.552	201.529	21.909	1.445	5.318	811	32.071	1178	7363	2.58	31.002	4146	224.667	224.667	224.667	224.667	224.667	1.741	2.574	2.574	2.574	2.574	2.574	0.351	0.262	3.36	12.187	51.848	8.487	3.096	1.299	1.751	0.922	0.582	0.346	0.199	0.119	0.75	185	84	5.6	0.827	6.133	32	180	27	2	0.521	1.909	0	69.529	0	77.34	0	0	10.251	7.343	6.628	5.736	4.957	4.434	0.683	0.432	0.276	0.174	0.11	0.073	8.696	5.226	4.011	2.902	2.116	1.597	0.58	0.307	0.167	0.088	0.047	0.026	10.251	7.343	6.628	5.736	4.957	4.434	44.06	2.754	106.04
28	PAH-L034.HIN	4-methylphenanthrene	82	162	99	194	14	11.731	2.093	2.186	0.292	30	5	25	56.184	42.933	0.234	1493	2166	1539	3106	14.543	4.105	322	3.067	27.707	45.91	198.48	21.578	1.355	5.318	767	32.307	1184	7438	2.567	30.087	4142	219.333	219.333	219.333	219.333	219.333	1.787	2.638	2.638	2.638	2.638	2.638	0.348	0.199	3.193	12.249	51.848	8.487	3.096	1.219	1.751	0.923	0.58	0.357	0.211	0.118	0.75	181	82	5.467	0.764	6.062	31	179	24	2	0.521	1.832	0	68.242	0	75.839	0	0	10.251	7.36	6.531	5.806	5.19	4.395	0.683	0.433	0.272	0.171	0.11	0.072	8.696	5.232	3.96	2.978	2.247	1.586	0.58	0.308	0.165	0.088	0.048	0.026	10.251	7.36	6.531	5.806	5.19	4.395	44.161	2.731	107.033
29	PAH-L035.HIN	9-methylphenanthrene	82	162	99	194	14	11.731	2.093	2.186	0.292	30	5	25	56.179	42.933	0.234	1493	2166	1539	3106	14.546	4.105	322	3.067	27.707	45.91	196.794	21.395	1.241	5.318	767	32.307	1178	7375	2.589	30.315	4075	219.333	219.333	219.333	219.333	219.333	1.787	2.638	2.638	2.638	2.638	2.638	0.339	0.262	3.193	12.241	52.603	8.487	3.096	1.219	1.751	0.923	0.579	0.356	0.212	0.121	0.75	181	82	5.467	0.764	6.329	32	164	22	2	0.521	1.832	0	68.696	0	76.766	0	0	10.251	7.36	6.534	5.798	5.171	4.451	0.683	0.433	0.272	0.171	0.11	0.072	8.696	5.232	3.96	2.975	2.241	1.615	0.58	0.308	0.165	0.087	0.048	0.026	10.251	7.36	6.534	5.798	5.171	4.451	44.161	2.733	107.044
30	PAH-L036.HIN	3-6-dimethylphenanthrene	88	170	105	203	15	12.137	2	2.135	0.287	32	6	26	62.18	49.5	0.238	1800	2542	1840	3527	15.559	6.396	396	3.3	29.638	50.105	247.451	25.315	1.555	5.318	1014	34.686	1348	8478	3.762	37.582	4861	274	274	274	274	274	1.746	2.551	2.551	2.551	2.551	2.551	0.346	0.275	3.976	13.961	44	9.411	3.345	1.507	1.968	0.939	0.591	0.343	0.192	0.122	0.75	200	92	5.75	0.813	7	36	216	30	5	0.625	1.906	0	76.825	0	85.52	0	0	11.121	7.737	7.262	6.079	5.169	4.762	0.695	0.43	0.279	0.174	0.108	0.071	9.619	5.637	4.515	3.15	2.277	1.786	0.601	0.313	0.174	0.09	0.047	0.027	11.121	7.737	7.262	6.079	5.169	4.762	46.423	2.809	116.509
